"sp0","bec_zone","bole","branches","bark","foliage","total"
"AC","AT",0.5351,0.1281,0.0768,0.0123,0.7523
"AC","BG",0.4803,0.1148,0.0711,0.0115,0.6777
"AC","BWBS",0.4378,0.062,0.0607,0.0062,0.5667
"AC","CDF",0.3287,0.0787,0.0472,0.0076,0.4622
"AC","CWH",0.484,0.1158,0.0694,0.0111,0.6803
"AC","ESSF",0.5412,0.1295,0.0776,0.0125,0.7608
"AC","ICH",0.5295,0.1267,0.0759,0.0122,0.7443
"AC","IDF",0.4656,0.1114,0.0668,0.0107,0.6545
"AC","MH",0.5016,0.12,0.0719,0.0115,0.705
"AC","MS",0.4845,0.1159,0.0695,0.0112,0.6811
"AC","PP",0.4652,0.1113,0.0667,0.0107,0.6539
"AC","SBPS",0.4805,0.115,0.0689,0.0111,0.6755
"AC","SBS",0.5308,0.127,0.0761,0.0122,0.7461
"AC","SWB",0.4599,0.1512,0.0971,0.0199,0.7281
"AT","AT",0.4559,0.0781,0.1,0.016,0.65
"AT","BG",0.4165,0.0714,0.0914,0.0146,0.5939
"AT","BWBS",0.3988,0.0351,0.0887,0.0064,0.529
"AT","CDF",0.4411,0.0718,0.0954,0.0145,0.6228
"AT","CWH",0.4327,0.0784,0.0893,0.016,0.6164
"AT","ESSF",0.4631,0.0794,0.1016,0.0162,0.6603
"AT","ICH",0.4389,0.0769,0.0952,0.0157,0.6267
"AT","IDF",0.4549,0.078,0.0998,0.0159,0.6486
"AT","MH",0.4411,0.0718,0.0954,0.0145,0.6228
"AT","MS",0.4377,0.075,0.096,0.0153,0.624
"AT","PP",0.4645,0.0796,0.1019,0.0163,0.6623
"AT","SBPS",0.4544,0.0779,0.0997,0.0159,0.6479
"AT","SBS",0.4541,0.0778,0.0996,0.0159,0.6474
"AT","SWB",0.4214,0.054,0.0812,0.0102,0.5668
"B","AT",0.4024,0.0958,0.055,0.0898,0.643
"B","BG",0.3752,0.0842,0.0532,0.0785,0.5911
"B","BWBS",0.3611,0.0565,0.0618,0.0453,0.5247
"B","CDF",0.3229,0.041,0.05,0.0404,0.4543
"B","CWH",0.3803,0.074,0.0491,0.0744,0.5778
"B","ESSF",0.3882,0.0943,0.0531,0.0874,0.623
"B","ICH",0.3937,0.089,0.0528,0.0835,0.619
"B","IDF",0.3636,0.0969,0.0511,0.0844,0.596
"B","MH",0.3916,0.0765,0.0505,0.0761,0.5947
"B","MS",0.378,0.114,0.0553,0.0976,0.6449
"B","PP",0.3507,0.0842,0.0483,0.09,0.5732
"B","SBPS",0.3855,0.1021,0.0547,0.107,0.6493
"B","SBS",0.3856,0.0957,0.0531,0.0878,0.6222
"B","SWB",0.3741,0.0747,0.0564,0.0563,0.5615
"C","AT",0.2265,0.0498,0.0306,0.0269,0.3338
"C","BG",0.3001,0.0691,0.0408,0.0424,0.4524
"C","BWBS",0.3001,0.0691,0.0408,0.0424,0.4524
"C","CDF",0.2662,0.0536,0.0358,0.0306,0.3862
"C","CWH",0.3173,0.0667,0.0423,0.0342,0.4605
"C","ESSF",0.3028,0.0663,0.0404,0.0329,0.4424
"C","ICH",0.3233,0.0662,0.0431,0.0349,0.4675
